Date,Winning Numbers,(As Drawn),Thunderball
16/02/2011,15, 37, 1, 24, 9,2
18/02/2011,38, 7, 29, 28, 1,3
19/02/2011,30, 29, 37, 24, 19,10
23/02/2011,21, 35, 27, 3, 2,10
25/02/2011,21, 3, 4, 32, 19,10
26/02/2011,5, 9, 8, 31, 18,11
02/03/2011,28, 5, 31, 3, 21,8
04/03/2011,9, 39, 10, 3, 15,8
05/03/2011,15, 8, 16, 25, 10,14
09/03/2011,6, 4, 3, 29, 18,12
11/03/2011,4, 32, 27, 16, 26,11
12/03/2011,15, 25, 18, 34, 39,4
16/03/2011,33, 19, 10, 20, 11,2
18/03/2011,26, 15, 6, 12, 21,11
19/03/2011,10, 36, 33, 20, 5,14
23/03/2011,29, 10, 38, 5, 6,5
25/03/2011,16, 32, 8, 19, 10,10
26/03/2011,16, 21, 8, 35, 32,14
30/03/2011,38, 32, 30, 22, 11,11
01/04/2011,15, 24, 36, 21, 12,8
02/04/2011,35, 25, 14, 15, 11,8
06/04/2011,31, 29, 35, 21, 7,10
08/04/2011,12, 21, 25, 6, 36,8
09/04/2011,27, 1, 19, 29, 16,4
13/04/2011,22, 37, 30, 38, 27,5
15/04/2011,26, 22, 38, 8, 31,2
16/04/2011,37, 28, 12, 24, 39,9
20/04/2011,33, 19, 39, 17, 27,6
22/04/2011,25, 32, 11, 24, 23,6
23/04/2011,2, 16, 15, 14, 37,2
27/04/2011,17, 12, 35, 39, 14,10
29/04/2011,30, 2, 19, 28, 17,13
30/04/2011,28, 32, 5, 7, 24,6
04/05/2011,25, 35, 3, 1, 13,13
06/05/2011,2, 21, 15, 8, 23,7
07/05/2011,17, 6, 16, 19, 12,5
11/05/2011,9, 38, 36, 15, 37,7
13/05/2011,12, 39, 14, 27, 4,11
14/05/2011,3, 4, 10, 11, 20,5
18/05/2011,4, 8, 39, 20, 29,3
20/05/2011,15, 9, 32, 7, 29,3
21/05/2011,8, 10, 28, 3, 6,10
25/05/2011,31, 26, 7, 8, 28,3
27/05/2011,30, 20, 29, 14, 17,5
28/05/2011,21, 16, 27, 14, 37,6
01/06/2011,39, 32, 31, 19, 12,1
03/06/2011,31, 16, 26, 37, 22,11
04/06/2011,20, 6, 13, 35, 36,6
08/06/2011,3, 39, 38, 15, 30,10
10/06/2011,29, 11, 13, 2, 38,8
11/06/2011,9, 19, 22, 30, 8,7
15/06/2011,32, 16, 23, 5, 11,5
17/06/2011,30, 26, 32, 29, 28,11
18/06/2011,12, 10, 29, 8, 18,12
22/06/2011,26, 10, 30, 21, 16,8
24/06/2011,28, 5, 4, 7, 6,3
25/06/2011,8, 32, 33, 37, 6,6
29/06/2011,37, 14, 36, 1, 27,8
01/07/2011,10, 7, 21, 5, 34,11
02/07/2011,34, 2, 9, 17, 16,4
06/07/2011,17, 11, 25, 36, 27,11
08/07/2011,36, 13, 8, 26, 39,14
09/07/2011,11, 10, 27, 29, 32,6
13/07/2011,12, 9, 26, 18, 38,1
15/07/2011,6, 18, 10, 23, 38,1
16/07/2011,28, 30, 22, 21, 24,10
20/07/2011,10, 20, 30, 32, 22,5
22/07/2011,8, 10, 28, 18, 31,8
23/07/2011,4, 21, 24, 30, 20,11
27/07/2011,38, 13, 35, 8, 25,3
29/07/2011,37, 24, 26, 13, 17,11
30/07/2011,24, 3, 17, 28, 32,7
03/08/2011,25, 14, 27, 12, 20,9
05/08/2011,8, 6, 20, 23, 39,8
06/08/2011,4, 8, 36, 23, 3,8
10/08/2011,13, 21, 31, 2, 1,13
12/08/2011,25, 4, 23, 19, 22,2
13/08/2011,31, 32, 23, 17, 4,9
17/08/2011,16, 11, 23, 2, 31,2
19/08/2011,27, 15, 34, 1, 39,1
20/08/2011,11, 22, 6, 7, 33,10
24/08/2011,20, 29, 6, 30, 5,11
26/08/2011,31, 28, 1, 35, 32,12
27/08/2011,23, 28, 30, 22, 15,11
31/08/2011,15, 29, 38, 2, 20,3
02/09/2011,7, 24, 25, 29, 8,8
03/09/2011,15, 21, 26, 12, 22,8
07/09/2011,16, 5, 26, 38, 20,4
09/09/2011,10, 38, 2, 30, 1,13
10/09/2011,31, 11, 30, 9, 36,2
14/09/2011,12, 31, 10, 13, 36,3
16/09/2011,33, 23, 28, 26, 18,10
17/09/2011,20, 3, 39, 10, 37,13
21/09/2011,15, 23, 13, 2, 4,13
23/09/2011,22, 36, 31, 19, 27,3
24/09/2011,15, 37, 14, 22, 25,7
28/09/2011,29, 31, 22, 13, 32,3
30/09/2011,25, 3, 33, 36, 10,2
01/10/2011,10, 15, 3, 14, 9,13
05/10/2011,26, 8, 9, 30, 2,5
07/10/2011,33, 30, 7, 3, 24,4
08/10/2011,18, 39, 8, 37, 3,8
12/10/2011,12, 32, 13, 28, 16,13
14/10/2011,35, 23, 10, 30, 20,14
15/10/2011,17, 31, 24, 19, 1,6
19/10/2011,20, 13, 36, 1, 21,1
21/10/2011,2, 9, 21, 4, 25,14
22/10/2011,17, 33, 5, 38, 28,3
26/10/2011,28, 13, 6, 19, 24,11
28/10/2011,30, 33, 16, 19, 11,3
29/10/2011,15, 29, 23, 26, 21,9
02/11/2011,25, 12, 36, 24, 6,5
04/11/2011,20, 6, 26, 10, 35,2
05/11/2011,24, 39, 23, 12, 33,13
09/11/2011,28, 17, 9, 24, 36,6
11/11/2011,30, 38, 35, 24, 8,7
12/11/2011,35, 19, 18, 6, 7,6
16/11/2011,19, 4, 21, 30, 27,6
18/11/2011,30, 16, 32, 34, 29,12
19/11/2011,39, 15, 1, 13, 30,14
23/11/2011,31, 11, 4, 28, 20,6
25/11/2011,7, 13, 22, 24, 39,1
26/11/2011,7, 8, 22, 17, 25,6
30/11/2011,17, 7, 28, 18, 31,8
02/12/2011,35, 22, 19, 28, 30,10
03/12/2011,32, 4, 17, 36, 19,7
07/12/2011,35, 38, 29, 31, 6,9
09/12/2011,33, 20, 30, 26, 15,7
10/12/2011,14, 20, 30, 24, 7,6
14/12/2011,26, 10, 1, 7, 9,4
16/12/2011,27, 28, 23, 17, 34,5
17/12/2011,29, 2, 27, 5, 9,8
21/12/2011,38, 14, 5, 20, 21,3
23/12/2011,22, 17, 29, 31, 4,4
24/12/2011,7, 39, 6, 20, 18,4
28/12/2011,34, 5, 7, 39, 11,2
30/12/2011,16, 18, 13, 25, 5,1
31/12/2011,16, 32, 24, 8, 21,6
04/01/2012,38, 37, 2, 18, 14,3
06/01/2012,30, 16, 28, 17, 8,9
07/01/2012,17, 34, 18, 23, 30,11
11/01/2012,28, 19, 38, 29, 9,6
13/01/2012,14, 9, 30, 2, 17,14
14/01/2012,33, 16, 17, 4, 32,4
18/01/2012,7, 25, 23, 2, 4,10
20/01/2012,9, 20, 24, 2, 11,2
21/01/2012,36, 34, 5, 7, 31,8
25/01/2012,29, 16, 9, 19, 36,1
27/01/2012,30, 31, 17, 27, 39,11
28/01/2012,20, 7, 38, 37, 3,1
01/02/2012,17, 38, 23, 26, 29,9
03/02/2012,10, 7, 31, 28, 19,3
04/02/2012,24, 18, 35, 23, 21,1
08/02/2012,12, 22, 5, 37, 28,12
10/02/2012,33, 39, 9, 22, 34,1
11/02/2012,17, 28, 32, 21, 6,8
15/02/2012,18, 19, 39, 1, 11,7
17/02/2012,31, 3, 33, 28, 38,5
18/02/2012,20, 15, 23, 33, 3,8
22/02/2012,30, 12, 9, 37, 28,4
24/02/2012,36, 28, 9, 17, 18,4
25/02/2012,3, 39, 22, 24, 36,10
29/02/2012,30, 2, 34, 36, 7,11
02/03/2012,10, 26, 2, 1, 32,11
03/03/2012,30, 6, 27, 13, 1,12
07/03/2012,8, 11, 19, 15, 33,14
09/03/2012,7, 29, 4, 33, 6,1
10/03/2012,29, 2, 34, 15, 21,9
14/03/2012,22, 29, 36, 34, 13,3
16/03/2012,15, 37, 30, 9, 29,13
17/03/2012,32, 18, 29, 15, 16,3
21/03/2012,32, 15, 1, 18, 2,13
23/03/2012,14, 4, 2, 30, 24,12
24/03/2012,31, 6, 32, 33, 18,13
28/03/2012,4, 11, 27, 16, 13,11
30/03/2012,2, 4, 17, 23, 20,4
31/03/2012,27, 24, 22, 30, 10,10
04/04/2012,5, 21, 10, 4, 34,5
06/04/2012,1, 17, 24, 37, 22,12
07/04/2012,1, 17, 37, 36, 31,5
11/04/2012,14, 10, 17, 20, 32,14
13/04/2012,32, 29, 5, 26, 31,11
14/04/2012,18, 7, 8, 1, 16,4
18/04/2012,5, 20, 24, 3, 30,8
20/04/2012,3, 19, 28, 21, 12,14
21/04/2012,8, 21, 13, 6, 18,5
25/04/2012,3, 32, 35, 11, 4,6
27/04/2012,36, 23, 18, 25, 2,10
28/04/2012,21, 8, 36, 34, 6,6
02/05/2012,22, 23, 16, 36, 13,4
04/05/2012,20, 17, 38, 28, 25,1
05/05/2012,18, 32, 27, 9, 11,13
09/05/2012,5, 15, 32, 37, 4,12
11/05/2012,6, 17, 32, 1, 4,1
12/05/2012,11, 39, 14, 17, 23,2
16/05/2012,28, 15, 36, 29, 9,5
18/05/2012,24, 32, 2, 27, 25,8
19/05/2012,12, 36, 4, 22, 31,12
23/05/2012,17, 5, 18, 9, 14,13
25/05/2012,13, 14, 18, 36, 27,10
26/05/2012,34, 39, 30, 21, 35,8
30/05/2012,33, 20, 16, 22, 12,5
01/06/2012,14, 26, 21, 29, 5,5
02/06/2012,15, 3, 22, 28, 39,6
06/06/2012,34, 13, 15, 3, 30,2
08/06/2012,23, 39, 25, 19, 30,13
09/06/2012,31, 4, 28, 22, 18,4
13/06/2012,5, 27, 17, 19, 32,12
