
Date, Winning Numbers (As Drawn), Lucky Stars (As Drawn)
17/04/2012, 10, 28, 49, 48, 33, 10, 1
20/04/2012, 32, 41, 29, 3, 6, 11, 10
24/04/2012, 8, 24, 48, 43, 9, 3, 5
27/04/2012, 36, 43, 30, 27, 20, 1, 6
01/05/2012, 4, 15, 41, 5, 19, 11, 9
04/05/2012, 26, 41, 40, 39, 3, 1, 2
08/05/2012, 3, 34, 48, 38, 21, 5, 8
11/05/2012, 1, 17, 13, 44, 38, 2, 11
15/05/2012, 13, 2, 50, 11, 26, 5, 2
18/05/2012, 29, 50, 43, 47, 13, 9, 11
22/05/2012, 31, 32, 41, 16, 37, 7, 1
25/05/2012, 35, 12, 22, 49, 46, 2, 8
29/05/2012, 28, 17, 25, 15, 8, 3, 11
01/06/2012, 26, 2, 36, 14, 4, 9, 10
05/06/2012, 13, 49, 37, 47, 34, 8, 9
08/06/2012, 11, 22, 5, 34, 40, 9, 11
12/06/2012, 30, 26, 48, 15, 8, 9, 10
15/06/2012, 48, 38, 27, 22, 10, 3, 7
19/06/2012, 17, 20, 50, 7, 35, 5, 11
22/06/2012, 18, 14, 19, 43, 49, 7, 3
26/06/2012, 11, 22, 35, 20, 1, 10, 8
29/06/2012, 14, 17, 28, 39, 29, 11, 1
03/07/2012, 22, 7, 2, 40, 27, 6, 3
06/07/2012, 40, 42, 38, 31, 32, 3, 1
10/07/2012, 37, 1, 24, 16, 3, 8, 1
13/07/2012, 18, 46, 35, 25, 8, 9, 4
17/07/2012, 24, 2, 43, 7, 46, 10, 8
20/07/2012, 19, 23, 10, 45, 49, 9, 10
24/07/2012, 18, 25, 4, 16, 44, 11, 1
27/07/2012, 15, 48, 14, 23, 21, 2, 10
31/07/2012, 35, 39, 4, 36, 29, 9, 8
03/08/2012, 34, 35, 42, 24, 46, 5, 1
07/08/2012, 20, 50, 34, 46, 27, 3, 2
10/08/2012, 50, 21, 17, 48, 11, 9, 10
14/08/2012, 45, 16, 42, 1, 38, 9, 10
17/08/2012, 19, 25, 33, 44, 28, 8, 2
21/08/2012, 17, 5, 38, 4, 48, 4, 3
24/08/2012, 6, 5, 19, 37, 12, 7, 3
28/08/2012, 1, 26, 25, 44, 18, 5, 4
31/08/2012, 31, 28, 16, 48, 33, 11, 7
04/09/2012, 18, 39, 17, 44, 11, 10, 5
07/09/2012, 15, 35, 13, 30, 42, 4, 6
11/09/2012, 15, 6, 37, 22, 44, 2, 4
14/09/2012, 27, 10, 44, 23, 3, 9, 7
18/09/2012, 38, 7, 39, 44, 6, 7, 9
21/09/2012, 41, 4, 34, 43, 19, 7, 11
25/09/2012, 48, 25, 27, 49, 7, 1, 4
28/09/2012, 20, 26, 30, 33, 23, 6, 9
02/10/2012, 16, 42, 21, 36, 4, 8, 7
05/10/2012, 19, 16, 18, 21, 9, 3, 2
09/10/2012, 23, 8, 10, 25, 2, 8, 9
12/10/2012, 35, 7, 17, 43, 6, 2, 8
16/10/2012, 41, 10, 40, 49, 32, 2, 8
19/10/2012, 16, 40, 44, 37, 29, 8, 10
23/10/2012, 1, 35, 38, 50, 28, 2, 10
26/10/2012, 9, 5, 6, 38, 27, 5, 11
30/10/2012, 23, 44, 25, 24, 31, 2, 3
02/11/2012, 6, 10, 3, 44, 11, 3, 4
06/11/2012, 35, 25, 20, 41, 7, 1, 9
09/11/2012, 47, 28, 14, 21, 22, 5, 4
13/11/2012, 29, 11, 21, 24, 16, 6, 2
16/11/2012, 15, 19, 41, 23, 10, 2, 9
20/11/2012, 42, 28, 45, 30, 49, 10, 5
23/11/2012, 11, 20, 40, 9, 1, 5, 1
27/11/2012, 49, 44, 6, 10, 23, 7, 1
30/11/2012, 18, 23, 40, 24, 10, 3, 4
04/12/2012, 29, 5, 28, 44, 10, 2, 4
07/12/2012, 10, 18, 31, 42, 16, 2, 5
11/12/2012, 50, 4, 9, 1, 43, 6, 8
14/12/2012, 40, 29, 11, 43, 10, 11, 3
18/12/2012, 35, 14, 44, 18, 20, 5, 2
21/12/2012, 40, 5, 3, 42, 22, 3, 10
25/12/2012, 14, 20, 32, 23, 18, 3, 10
28/12/2012, 26, 49, 27, 24, 17, 3, 5
01/01/2013, 36, 49, 2, 7, 8, 11, 1
04/01/2013, 4, 10, 27, 22, 41, 10, 8
08/01/2013, 22, 26, 47, 2, 20, 9, 5
11/01/2013, 37, 22, 29, 4, 41, 7, 4
15/01/2013, 47, 42, 22, 40, 38, 11, 1
18/01/2013, 39, 26, 27, 30, 4, 10, 3
22/01/2013, 45, 10, 48, 1, 44, 4, 1
25/01/2013, 3, 10, 37, 18, 31, 2, 4
29/01/2013, 9, 16, 36, 26, 39, 6, 2
01/02/2013, 37, 5, 34, 38, 21, 1, 6
05/02/2013, 25, 6, 45, 40, 31, 6, 7
08/02/2013, 14, 44, 11, 34, 9, 11, 10
12/02/2013, 28, 25, 5, 11, 16, 7, 9
15/02/2013, 2, 4, 42, 28, 22, 4, 9
19/02/2013, 28, 30, 44, 12, 15, 9, 8
22/02/2013, 15, 37, 36, 16, 28, 2, 11
26/02/2013, 12, 13, 17, 3, 30, 6, 2
01/03/2013, 1, 11, 36, 29, 42, 4, 5
05/03/2013, 33, 31, 19, 8, 39, 7, 2
08/03/2013, 20, 42, 23, 28, 3, 8, 11
12/03/2013, 50, 4, 10, 2, 22, 5, 8
15/03/2013, 24, 14, 39, 4, 21, 10, 3
19/03/2013, 44, 32, 19, 37, 35, 9, 1
22/03/2013, 27, 32, 12, 34, 49, 9, 8
26/03/2013, 44, 30, 26, 42, 4, 6, 11
29/03/2013, 44, 30, 46, 43, 13, 9, 5
02/04/2013, 17, 12, 41, 29, 25, 1, 4
05/04/2013, 32, 1, 17, 39, 11, 7, 2
09/04/2013, 15, 44, 48, 38, 35, 10, 5
12/04/2013, 28, 45, 15, 5, 10, 3, 9
16/04/2013, 33, 50, 22, 1, 11, 4, 6
19/04/2013, 1, 46, 8, 42, 48, 4, 7
23/04/2013, 50, 4, 1, 7, 10, 4, 11
26/04/2013, 40, 38, 16, 24, 11, 2, 5
30/04/2013, 13, 50, 40, 43, 36, 9, 5
03/05/2013, 5, 49, 34, 3, 40, 2, 3
07/05/2013, 43, 27, 13, 28, 42, 4, 6
10/05/2013, 48, 35, 45, 1, 32, 4, 11
14/05/2013, 24, 7, 8, 36, 27, 11, 5
17/05/2013, 25, 24, 50, 6, 20, 9, 10
